2PA,3P,AST,Age,BLK,Draft Placing,MP,PF,PTS,STL,TOV,TRB,US or EU,eFG%
3.6,0.0,0.6,30,0.4,6.0,13.4,2.8,4.4,0.3,1.1,3.2,US,45.2
7.3,0.0,1.6,22,1.5,7.0,24.8,2.4,8.5,0.5,1.3,5.7,US,51.2
12.9,0.0,1.7,23,1.3,7.0,31.0,2.7,15.2,0.6,1.9,6.6,US,49.1
13.0,0.0,1.9,24,1.4,7.0,28.8,2.0,14.6,0.5,1.8,6.0,US,44.8
12.8,0.0,1.3,25,1.1,7.0,26.6,1.9,13.8,0.5,1.5,5.3,US,44.7
15.6,0.0,1.9,26,1.5,7.0,34.2,2.3,19.6,0.6,2.3,6.5,US,49.3
15.5,0.0,1.7,27,1.1,7.0,33.9,2.3,19.5,0.6,2.5,5.5,US,48.4
11.8,0.0,1.7,28,1.2,7.0,31.5,2.1,14.2,0.4,1.7,5.0,US,48.1
10.6,0.0,1.5,29,1.1,7.0,30.3,2.0,12.4,0.6,1.6,5.0,US,45.8
9.9,0.0,0.9,30,1.4,7.0,25.0,1.9,11.3,0.4,1.3,5.8,US,44.0
7.7,0.0,1.5,30,1.2,7.0,25.2,2.4,9.4,0.4,1.6,6.0,US,38.6
10.3,0.0,0.8,30,1.4,7.0,25.0,1.8,11.7,0.4,1.2,5.7,US,44.8
6.4,0.0,0.9,31,0.7,7.0,18.2,1.3,7.5,0.3,0.9,3.1,US,45.5
5.7,0.0,0.7,32,0.7,7.0,16.4,1.2,7.4,0.3,0.7,2.7,US,51.0
4.0,0.0,0.6,37,0.7,7.0,12.6,1.8,4.2,0.2,0.6,2.2,US,44.6
5.9,0.0,0.5,24,0.5,156.0,18.7,3.7,6.8,0.5,1.9,4.4,US,47.0
6.8,0.0,0.6,25,0.3,156.0,20.1,3.0,8.6,0.6,1.8,4.6,US,49.1
3.9,0.0,0.3,28,0.2,156.0,14.4,1.9,8.2,0.8,0.9,3.7,US,61.1
3.1,0.0,0.3,29,0.1,156.0,11.3,1.8,4.0,0.3,0.8,2.2,US,47.8
1.7,0.0,0.2,30,0.1,156.0,7.2,1.6,2.4,0.1,0.5,2.0,US,53.1
5.5,1.5,0.8,21,0.8,1.0,25.1,2.8,11.6,0.5,1.6,3.9,EU,50.7
5.9,1.2,1.1,22,0.5,1.0,23.9,2.7,10.2,0.3,1.1,3.7,EU,44.8
8.6,1.5,1.2,23,1.2,1.0,31.4,3.1,15.4,0.4,1.7,5.3,EU,51.2
